HName	Level	STR	DEX	INTE	Exp	MonsterSummonInfo	AIType
에스트로이더	30	90	55	5	0		16
에스트로이더	30	90	55	5	0		16
에스트로이더	30	90	55	5	0		16
에스트로이더	30	90	55	5	0		16
위도우즈	33	50	25	80	0		17
위도우즈	33	50	25	80	0		17
위도우즈	33	50	25	80	0		17
위도우즈	33	50	25	80	0		17
위도우즈	33	50	25	80	0		17
위도우즈	33	50	25	80	0		17
위도우즈	33	50	25	80	0		17
위도우즈	33	50	25	80	0		17
위도우즈	33	50	25	80	0		17
위도우즈	33	50	25	80	0		17
호블	35	60	45	60	0		12
호블	35	60	45	60	0		12
호블	35	60	45	60	0		12
호블	35	60	45	60	0		12
호블	35	60	45	60	0		12
호블	35	60	45	60	0		12
호블	35	60	45	60	0		12
호블	35	60	45	60	0		12
호블	35	60	45	60	0		12
호블	35	60	45	60	0		12
빅팽	38	30	100	50	0		19
빅팽	38	30	100	50	0		19
빅팽	38	30	100	50	0		19
빅팽	38	30	100	50	0		19
빅팽	38	30	100	50	0		19
빅팽	38	30	100	50	0		19
빅팽	38	30	100	50	0		19
빅팽	38	30	100	50	0		19
빅팽	38	30	100	50	0		19
빅팽	38	30	100	50	0		19
블러드워록	40	60	30	90	0		6
블러드워록	40	60	30	90	0		6
블러드워록	40	60	30	90	0		6
블러드워록	40	60	30	90	0		6
블러드워록	40	60	30	90	0		6
블러드워록	40	60	30	90	0		6
블러드워록	40	60	30	90	0		6
블러드워록	40	60	30	90	0		6
블러드워록	40	60	30	90	0		6
블러드워록	40	60	30	90	0		6
골레머	45	130	60	5	0		8
골레머	45	130	60	5	0		8
골레머	45	130	60	5	0		8
골레머	45	130	60	5	0		8
골레머	45	130	60	5	0		8
골레머	45	130	60	5	0		8
골레머	45	130	60	5	0		8
골레머	45	130	60	5	0		8
골레머	45	130	60	5	0		8
골레머	45	130	60	5	0		8
쉐도우윙	50	70	45	90	0		13
쉐도우윙	50	70	45	90	0		13
쉐도우윙	50	70	45	90	0		13
쉐도우윙	50	70	45	90	0		13
쉐도우윙	50	70	45	90	0		13
쉐도우윙	50	70	45	90	0		13
쉐도우윙	50	70	45	90	0		13
쉐도우윙	50	70	45	90	0		13
쉐도우윙	50	70	45	90	0		13
쉐도우윙	50	70	45	90	0		13
크림슨슬로터	55	120	80	22	0		23
크림슨슬로터	55	120	80	22	0		23
크림슨슬로터	55	120	80	22	0		23
크림슨슬로터	55	120	80	22	0		23
크림슨슬로터	55	120	80	22	0		23
크림슨슬로터	55	120	80	22	0		23
크림슨슬로터	55	120	80	22	0		23
크림슨슬로터	55	120	80	22	0		23
크림슨슬로터	55	120	80	22	0		23
크림슨슬로터	55	120	80	22	0		23
리퍼	58	100	40	91	0		25
리퍼	58	100	40	91	0		25
리퍼	58	100	40	91	0		25
리퍼	58	100	40	91	0		25
리퍼	58	100	40	91	0		25
리퍼	58	100	40	91	0		25
리퍼	58	100	40	91	0		25
리퍼	58	100	40	91	0		25
리퍼	58	100	40	91	0		25
리퍼	58	100	40	91	0		25
카오스나이트	60	145	77	15	0		22
카오스나이트	60	145	77	15	0		22
카오스나이트	60	145	77	15	0		22
카오스나이트	60	145	77	15	0		22
카오스나이트	60	145	77	15	0		22
카오스나이트	60	145	77	15	0		22
카오스나이트	60	145	77	15	0		22
카오스나이트	60	145	77	15	0		22
카오스나이트	60	145	77	15	0		22
카오스나이트	60	145	77	15	0		22
헬위자드	63	100	40	106	0		27
헬위자드	63	100	40	106	0		27
헬위자드	63	100	40	106	0		27
헬위자드	63	100	40	106	0		27
헬위자드	63	100	40	106	0		27
헬위자드	63	100	40	106	0		27
헬위자드	63	100	40	106	0		27
헬위자드	63	100	40	106	0		27
헬위자드	63	100	40	106	0		27
헬위자드	63	100	40	106	0		27
다크스크리머	66	80	80	95	0		21
다크스크리머	66	80	80	95	0		21
다크스크리머	66	80	80	95	0		21
다크스크리머	66	80	80	95	0		21
다크스크리머	66	80	80	95	0		21
다크스크리머	66	80	80	95	0		21
다크스크리머	66	80	80	95	0		21
다크스크리머	66	80	80	95	0		21
다크스크리머	66	80	80	95	0		21
다크스크리머	66	80	80	95	0		21
카오스가디언	70	150	100	20	0		11
카오스가디언	70	150	100	20	0		11
카오스가디언	70	150	100	20	0		11
카오스가디언	70	150	100	20	0		11
카오스가디언	70	150	100	20	0		11
카오스가디언	70	150	100	20	0		11
카오스가디언	70	150	100	20	0		11
카오스가디언	70	150	100	20	0		11
카오스가디언	70	150	100	20	0		11
카오스가디언	70	150	100	20	0		11
헬가디언	73	80	80	116	0		26
헬가디언	73	80	80	116	0		26
헬가디언	73	80	80	116	0		26
헬가디언	73	80	80	116	0		26
헬가디언	73	80	80	116	0		26
헬가디언	73	80	80	116	0		26
헬가디언	73	80	80	116	0		26
헬가디언	73	80	80	116	0		26
헬가디언	73	80	80	116	0		26
헬가디언	73	80	80	116	0		26
로드다크니스	90	150	77	100	0		24
로드다크니스	90	150	77	100	0		24
로드다크니스	90	150	77	100	0		24
로드다크니스	90	150	77	100	0		24
로드다크니스	90	150	77	100	0		24
로드다크니스	90	150	77	100	0		24
로드다크니스	90	150	77	100	0		24
로드다크니스	90	150	77	100	0		24
로드다크니스	90	150	77	100	0		24
로드다크니스	90	150	77	100	0		24
연변산타1	70	120	70	70	0		4
연변산타2	1	20	20	20	0		4
연변루돌프1	65	110	70	70	0		4
연변루돌프2	1	20	40	20	0		4
연변루돌프2	1	20	40	20	0		4
연변루돌프2	1	20	40	20	0		4
연변루돌프2	1	20	40	20	0		4
연변루돌프2	1	20	40	20	0		4
연변루돌프2	1	20	40	20	0		4
연변루돌프2	1	20	40	20	0		4
연변루돌프2	1	20	40	20	0		4
연변루돌프2	1	20	40	20	0		4
연변루돌프2	1	20	40	20	0		4
성물보관함	1	10	10	1	0		28
성물보관함	1	10	10	1	0		28
성물보관함	1	10	10	1	0		28
성물보관함	1	10	10	1	0		28
성물보관함	1	10	10	1	0		28
성물보관함	1	10	10	1	0		28
다크가디언	99	240	80	207	0		29
다크가디언	99	240	80	207	0		29
다크가디언	99	240	80	207	0		29
다크가디언	99	240	80	207	0		29
다크가디언	99	240	80	207	0		29
다크가디언	99	240	80	207	0		29
다크가디언	99	240	80	207	0		29
다크가디언	99	240	80	207	0		29
다크가디언	99	240	80	207	0		29
다크가디언	99	240	80	207	0		29
로드카오스	99	255	120	20	0		30
로드카오스	99	255	120	20	0		30
로드카오스	99	255	120	20	0		30
로드카오스	99	255	120	20	0		30
로드카오스	99	255	120	20	0		30
로드카오스	99	255	120	20	0		30
로드카오스	99	255	120	20	0		30
로드카오스	99	255	120	20	0		30
로드카오스	99	255	120	20	0		30
로드카오스	99	255	120	20	0		30
카오스그리드	99	255	120	20	0		31
카오스그리드	99	255	120	20	0		31
카오스그리드	99	255	120	20	0		31
카오스그리드	99	255	120	20	0		31
카오스그리드	99	255	120	20	0		31
카오스그리드	99	255	120	20	0		31
카오스그리드	99	255	120	20	0		31
카오스그리드	99	255	120	20	0		31
카오스그리드	99	255	120	20	0		31
카오스그리드	99	255	120	20	0		31
헬핀드	99	160	80	207	0		32
헬핀드	99	160	80	207	0		32
헬핀드	99	160	80	207	0		32
헬핀드	99	160	80	207	0		32
헬핀드	99	160	80	207	0		32
헬핀드	99	160	80	207	0		32
헬핀드	99	160	80	207	0		32
헬핀드	99	160	80	207	0		32
헬핀드	99	160	80	207	0		32
헬핀드	99	160	80	207	0		32
다크헤이즈	99	240	80	207	0		33
다크헤이즈	99	240	80	207	0		33
다크헤이즈	99	240	80	207	0		33
다크헤이즈	99	240	80	207	0		33
다크헤이즈	99	240	80	207	0		33
다크헤이즈	99	240	80	207	0		33
다크헤이즈	99	240	80	207	0		33
다크헤이즈	99	240	80	207	0		33
다크헤이즈	99	240	80	207	0		33
다크헤이즈	99	240	80	207	0		33
바토리	100	255	200	255	0	[(모데라스,6),(더티스트라이더,6),(에스트로이더,6) / (위도우즈,6),(더티스트라이더,6),(에스트로이더,6) / (위도우즈,6),(호블,6),(에스트로이더,6) / (위도우즈,6),(빅팽,6),(에스트로이더,6) / (블러드워록,6),(빅팽,6),(에스트로이더,6)]\n[(블러드워록,5),(빅팽,5),(골레머,5) / (쉐도우윙,5),(빅팽,5),(골레머,5) / (쉐도우윙,5),(빅팽,5),(크림슨슬로터,5) / (쉐도우윙,5),(리퍼,5),(크림슨슬로터,5) / (쉐도우윙,5),(리퍼,5),(카오스나이트,5)]\n[(다크스크리머,5),(헬위자드,5),(카오스나이트,5) / (다크스크리머,5),(헬위자드,5),(카오스가디언,5) / (다크스크리머,5),(헬가디언,5),(카오스가디언,5) / (다크스크리머,5),(헬가디언,5),(로드카오스,5) / (다크스크리머,5),(헬가디언,5),(카오스나이트,5)]\n[(로드카오스,5),(다크헤이즈,5),(헬핀드,5) / (로드카오스,6),(다크헤이즈,5),(헬핀드,4) / (로드카오스,7),(다크헤이즈,4),(헬핀드,4) / (로드카오스,6),(다크헤이즈,6),(헬핀드,3) / (로드카오스,8),(다크헤이즈,2),(헬핀드,5)]\n[(로드다크니스,2),(다크가디언,7),(헬핀드,6) / (로드다크니스,1),(다크가디언,7),(헬핀드,7) / (로드다크니스,2),(다크가디언,8),(헬핀드,5) / (로드다크니스,1),(다크가디언,6),(헬핀드,8) / (로드다크니스,2),(다크가디언,5),(헬핀드,8)]\n[(다크헤이즈,5),(헬핀드,5),(카오스그리드,5) / (다크헤이즈,4),(헬핀드,6),(카오스그리드,5) / (다크헤이즈,5),(헬핀드,4),(카오스그리드,6) / (다크헤이즈,4),(헬핀드,4),(카오스그리드,7) / (다크헤이즈,4),(헬핀드,7),(카오스그리드,4)]\n[(샤먼오프,5),(다크헤이즈,5),(카오스그리드,5) / (멈린몬,5),(헬핀드,5),(카오스그리드,5) / ({437},5),(다크헤이즈,5),(헬핀드,5) / (멈린몬,3),(헬핀드,6),(카오스그리드,6) / ({437},3),(다크헤이즈,6),(헬핀드,6)]\n[(샤먼오프,5),(멈린몬,5),(카오스그리드,5) / (샤먼오프,5),(다크헤이즈,5),({437},5) / (헬핀드,5),(멈린몬,5),({437},5) / (샤먼오프,6),(멈린몬,6),(카오스그리드,3) / (샤먼오프,6),(다크헤이즈,6),({437},3)]\n[(샤먼오프,5),(멈린몬,5),({437},5) / (샤먼오프,4),(멈린몬,6),({437},5) / (샤먼오프,3),(멈린몬,5),({437},7) / (샤먼오프,5),(멈린몬,3),({437},7) / (샤먼오프,5),(멈린몬,4),({437},6)]\n[(샤먼오프,5),(멈린몬,5),({437},5) / (샤먼오프,4),(멈린몬,6),({437},5) / (샤먼오프,3),(멈린몬,5),({437},7) / (샤먼오프,5),(멈린몬,3),({437},7) / (샤먼오프,5),(멈린몬,4),({437},6)]\n	34
바토리	100	255	200	255	0	[({459},1) / ({459},2)]\n[({459},1) / ({459},2)]\n[({459},1) / ({459},2)]\n[({459},1) / ({459},2)]	35
테페즈	100	255	200	255	0	[(모데라스,6),(더티스트라이더,6),(에스트로이더,6) / (위도우즈,6),(더티스트라이더,6),(에스트로이더,6) / (위도우즈,6),(호블,6),(에스트로이더,6) / (위도우즈,6),(빅팽,6),(에스트로이더,6) / (블러드워록,6),(빅팽,6),(에스트로이더,6)]\n[(블러드워록,5),(빅팽,5),(골레머,5) / (쉐도우윙,5),(빅팽,5),(골레머,5) / (쉐도우윙,5),(빅팽,5),(크림슨슬로터,5) / (쉐도우윙,5),(리퍼,5),(크림슨슬로터,5) / (쉐도우윙,5),(리퍼,5),(카오스나이트,5)]\n[(다크스크리머,5),(헬위자드,5),(카오스나이트,5) / (다크스크리머,5),(헬위자드,5),(카오스가디언,5) / (다크스크리머,5),(헬가디언,5),(카오스가디언,5) / (다크스크리머,5),(헬가디언,5),(로드카오스,5) / (다크스크리머,5),(헬가디언,5),(카오스나이트,5)]\n[(로드카오스,5),(다크헤이즈,5),(헬핀드,5) / (로드카오스,6),(다크헤이즈,5),(헬핀드,4) / (로드카오스,7),(다크헤이즈,4),(헬핀드,4) / (로드카오스,6),(다크헤이즈,6),(헬핀드,3) / (로드카오스,8),(다크헤이즈,2),(헬핀드,5)]\n[(로드다크니스,2),(다크가디언,7),(헬핀드,6) / (로드다크니스,1),(다크가디언,7),(헬핀드,7) / (로드다크니스,2),(다크가디언,8),(헬핀드,5) / (로드다크니스,1),(다크가디언,6),(헬핀드,8) / (로드다크니스,2),(다크가디언,5),(헬핀드,8)]\n[(다크헤이즈,5),(헬핀드,5),(카오스그리드,5) / (다크헤이즈,4),(헬핀드,6),(카오스그리드,5) / (다크헤이즈,5),(헬핀드,4),(카오스그리드,6) / (다크헤이즈,4),(헬핀드,4),(카오스그리드,7) / (다크헤이즈,4),(헬핀드,7),(카오스그리드,4)]\n[(샤먼오프,5),(다크헤이즈,5),(카오스그리드,5) / (멈린몬,5),(헬핀드,5),(카오스그리드,5) / ({437},5),(다크헤이즈,5),(헬핀드,5) / (멈린몬,3),(헬핀드,6),(카오스그리드,6) / ({437},3),(다크헤이즈,6),(헬핀드,6)]\n[(샤먼오프,5),(멈린몬,5),(카오스그리드,5) / (샤먼오프,5),(다크헤이즈,5),({437},5) / (헬핀드,5),(멈린몬,5),({437},5) / (샤먼오프,6),(멈린몬,6),(카오스그리드,3) / (샤먼오프,6),(다크헤이즈,6),({437},3)]\n[(샤먼오프,5),(멈린몬,5),({437},5) / (샤먼오프,4),(멈린몬,6),({437},5) / (샤먼오프,3),(멈린몬,5),({437},7) / (샤먼오프,5),(멈린몬,3),({437},7) / (샤먼오프,5),(멈린몬,4),({437},6)]\n[(샤먼오프,5),(멈린몬,5),({437},5) / (샤먼오프,4),(멈린몬,6),({437},5) / (샤먼오프,3),(멈린몬,5),({437},7) / (샤먼오프,5),(멈린몬,3),({437},7) / (샤먼오프,5),(멈린몬,4),({437},6)]\n	36
테페즈	100	255	200	255	0		37
바토리	100	255	200	200	0		38
테페즈	100	255	200	200	0		39
던울프아크	100	255	125	30	0	[({458},1)]\n[({458},1)]	42
멈린몬	100	255	95	205	0		41
멈린몬	100	255	95	205	0		41
멈린몬	100	255	95	205	0		41
멈린몬	100	255	95	205	0		41
멈린몬	100	255	95	205	0		41
멈린몬	100	255	95	205	0		41
멈린몬	100	255	95	205	0		41
멈린몬	100	255	95	205	0		41
멈린몬	100	255	95	205	0		41
멈린몬	100	255	95	205	0		41
샤먼오프	100	170	85	220	0		40
샤먼오프	100	170	85	220	0		40
샤먼오프	100	170	85	220	0		40
샤먼오프	100	170	85	220	0		40
샤먼오프	100	170	85	220	0		40
샤먼오프	100	170	85	220	0		40
샤먼오프	100	170	85	220	0		40
샤먼오프	100	170	85	220	0		40
샤먼오프	100	170	85	220	0		40
샤먼오프	100	170	85	220	0		40
다크울프	70	150	70	60	0		43
블러드던울프아크	100	255	125	30	0	[({460},1) / ({460},2)]\n[({460},1) / ({460},2)]	42
블러드울프	70	150	70	60	0		44
치프솔져	9	50	35	20	0	\n[({74},3)/({75},4)/({76},5)]\n	45
치프솔져2	9	50	35	20	0		46
치프데드바디	5	20	20	11	0		47
치프데드바디2	5	20	20	11	0		48
치프블러드워록	45	70	40	100	0		49
치프키드	7	40	30	20	0	\n[({38},3)/({39},4)/({40},5)]\n	50
치프골레머	50	140	70	15	0		51
치프더티스트라이더	32	60	50	75	0	\n[({188},3)/({189},4)/({190},5)]\n	52
치프알칸	19	50	40	40	0		53
치프카오스가디언	75	160	110	30	0		54
치프쉐도우윙	55	80	55	100	0		55
치프뮤턴트	25	80	50	20	0		56
치프에스트로이더	35	100	65	15	0		57
치프모데라스	28	50	30	75	0		58
치프다크스크리머	71	90	90	105	0		59
치프카오스나이트	65	155	87	25	0		60
치프카오스나이트2	65	155	87	25	0		61
치프로드다크니스	95	160	87	110	0		62
치프헬위자드	68	110	50	116	0		63
치프다크가디언	100	250	90	217	0		64
치프로드카오스	100	255	130	30	0		65
